,bike_name,price,kms_driven,owner,age,power,brand
2543,Yamaha YZF-R15 2.0,51715,13191,Second,8,150,Yamaha
2544,Royal Enfield Classic,120000,39000,First,6,350,Royal Enfield
2545,Bajaj Avenger 220cc,75000,8600,First,4,220,Bajaj
2546,Bajaj Avenger 220cc,70000,15000,First,5,220,Bajaj
2547,Royal Enfield Himalayan,107000,14000,First,5,410,Royal Enfield
2548,Honda CB Trigger,42000,59589,First,6,150,Honda
2549,Honda CBF Stunner,18000,50000,First,10,125,Honda
2550,Hero CD Deluxe,22000,14978,First,9,100,Hero
2551,Hero Passion Pro,29500,19000,First,8,100,Hero
2552,TVS Apache RTR,90000,12131,First,3,160,TVS
2553,Bajaj Platina ,32000,34859,First,3,100,Bajaj
2554,Bajaj CT 100,32000,12000,First,2,100,Bajaj
2555,Bajaj V15 150cc,30000,26701,First,5,150,Bajaj
2556,KTM RC 390cc,200000,167,First,2,390,KTM
2557,Triumph Bonneville T100,640000,7500,Second,4,900,Triumph
2558,Suzuki Gixxer 150cc,50000,43900,First,7,150,Suzuki
2559,Hero Super Splendor,38000,12500,First,4,125,Hero
2560,Bajaj Avenger 220cc,52000,11226,First,5,220,Bajaj
2561,Hero Passion Pro,37000,18067,First,7,100,Hero
2562,Bajaj Pulsar 150cc,20000,30000,First,14,150,Bajaj
2563,Royal Enfield Bullet,120000,23500,First,6,500,Royal Enfield
2564,Hero Passion Xpro,24000,18300,First,9,110,Hero
2565,Bajaj Pulsar 150cc,31000,30000,Second,7,150,Bajaj
2566,Bajaj V15 150cc,33000,27836,First,4,150,Bajaj
2567,Bajaj Pulsar 220cc,31500,80353,Second,10,220,Bajaj
2568,Bajaj Platina 100cc,19000,48754,First,9,100,Bajaj
2569,Bajaj V15 150cc,35000,15071,First,4,150,Bajaj
2570,Honda CB Hornet,70000,38000,First,4,160,Honda
2571,Honda CBF Stunner,15000,7900,First,12,125,Honda
2572,Bajaj Avenger Street,43000,9430,First,5,150,Bajaj
2573,Yamaha YZF-R15 2.0,45000,15910,First,7,150,Yamaha
2574,KTM RC 390cc,170000,8000,First,5,390,KTM
2575,Bajaj Avenger 220cc,32000,35000,First,10,220,Bajaj
2576,Bajaj Avenger Street,45000,39000,First,5,220,Bajaj
2577,Bajaj Avenger 220cc,42400,23000,First,7,220,Bajaj
2578,Suzuki Gixxer SF,70000,9000,First,3,150,Suzuki
2579,Bajaj Pulsar AS200,66700,5000,First,5,200,Bajaj
2580,Royal Enfield Thunderbird,160000,1189,First,2,350,Royal Enfield
2581,KTM RC 390cc,145000,23085,First,7,390,KTM
2582,Bajaj Discover 150cc,24000,39000,First,10,150,Bajaj
2583,Royal Enfield Bullet,100000,100000,First,19,350,Royal Enfield
2584,KTM Duke 390cc,120000,26400,First,8,390,KTM
2585,Suzuki Gixxer SF,95000,5493,First,2,150,Suzuki
2586,Suzuki Intruder 150cc,66000,17545,First,3,150,Suzuki
2587,Bajaj Avenger 220cc,47000,16000,First,5,220,Bajaj
2588,TVS Apache RTR,26000,51875,First,9,160,TVS
2589,Bajaj Avenger Street,85000,7000,First,2,160,Bajaj
